"Time [s]"	"Coolant Temperature"	"Intake Manifold Pressure"	"Engine RPM"	"Vehicle Speed"	"Intake Air Temperature"	"Fuel Level Input"	"Distance since ECU reset"	"CAT Temperature B1S1"	"Absolute Engine Load"	"Commanded Equivalence Ratio"	"Comm. Throttle Actuator Cntrl"	"Ethanol fuel %"	
    2021-05-29 15:24:09.785	90.0	35.0	1906.75	21.0	47.0	90.19607543945312	3658.0	499.3999938964844	23.921567916870117	97.784423828125	11.372549057006836	52.54901885986328	
    2021-05-29 15:24:10.866	89.0	48.0	1869.5	23.0	47.0	82.7450942993164	3658.0	499.3999938964844	28.627450942993164	97.711181640625	11.372549057006836	52.54901885986328	
    2021-05-29 15:24:12.044	89.0	30.0	1437.25	24.0	48.0	79.21568298339844	3658.0	499.20001220703125	18.431371688842773	99.2340087890625	7.450980186462402	52.54901885986328	
    2021-05-29 15:24:13.178	89.0	23.0	1504.75	26.0	47.0	79.21568298339844	3658.0	498.3999938964844	13.333333015441895	97.4853515625	6.274509906768799	52.54901885986328	
    2021-05-29 15:24:14.288	89.0	24.0	1572.75	27.0	47.0	84.70587921142578	3658.0	497.3999938964844	12.15686321258545	100.640869140625	6.666666507720947	52.54901885986328	
    2021-05-29 15:24:15.427	88.0	26.0	1626.5	28.0	47.0	82.7450942993164	3658.0	496.3999938964844	12.941176414489746	101.85546875	7.450980186462402	52.54901885986328	
    2021-05-29 15:24:16.505	88.0	34.0	1661.25	29.0	48.0	76.47058868408203	3658.0	495.5	12.941176414489746	103.009033203125	9.803921699523926	52.54901885986328	
    2021-05-29 15:24:17.613	88.0	32.0	1657.75	28.0	48.0	80.0	3658.0	494.79998779296875	18.823530197143555	101.84326171875	9.803921699523926	52.54901885986328	
    2021-05-29 15:24:18.724	88.0	33.0	1514.75	26.0	48.0	79.21568298339844	3658.0	494.1000061035156	19.215686798095703	99.8199462890625	9.019607543945312	52.54901885986328	
    2021-05-29 15:24:19.868	88.0	31.0	1485.75	25.0	48.0	82.35294342041016	3658.0	493.20001220703125	18.823530197143555	102.84423828125	8.627450942993164	52.54901885986328	
    2021-05-29 15:24:20.946	88.0	30.0	1536.5	26.0	48.0	80.0	3658.0	492.20001220703125	16.86274528503418	99.749755859375	8.235294342041016	52.54901885986328	
    2021-05-29 15:24:22.023	88.0	42.0	1517.5	26.0	48.0	80.0	3658.0	491.1000061035156	19.60784339904785	102.6336669921875	9.803921699523926	52.54901885986328	
    2021-05-29 15:24:23.105	88.0	42.0	1232.0	21.0	48.0	80.0	3658.0	490.20001220703125	23.13725471496582	102.1636962890625	7.843137264251709	52.54901885986328	
    2021-05-29 15:24:24.153	87.0	48.0	1039.75	18.0	48.0	82.35294342041016	3658.0	489.1000061035156	23.921567916870117	100.7781982421875	10.196078300476074	52.54901885986328	
    2021-05-29 15:24:25.238	87.0	73.0	1143.25	20.0	48.0	90.19607543945312	3658.0	488.20001220703125	43.13725662231445	104.327392578125	16.86274528503418	52.54901885986328	
    2021-05-29 15:24:26.314	87.0	39.0	1418.75	24.0	49.0	84.70587921142578	3658.0	488.20001220703125	37.25490188598633	102.6641845703125	12.15686321258545	52.54901885986328	
    2021-05-29 15:24:27.393	88.0	66.0	1545.25	27.0	48.0	87.45098114013672	3658.0	487.8999938964844	25.882352828979492	102.3895263671875	11.372549057006836	52.54901885986328	
    2021-05-29 15:24:28.475	88.0	59.0	1267.0	30.0	48.0	85.09803771972656	3658.0	487.79998779296875	45.490196228027344	102.685546875	14.509803771972656	52.54901885986328	
    2021-05-29 15:24:29.583	88.0	39.0	1347.25	33.0	48.0	80.0	3658.0	488.1000061035156	30.19607925415039	101.5350341796875	8.627450942993164	52.54901885986328	
