"Time [s]"	"Engine RPM"	"Vehicle Speed"	"Timing Advance (Cyl. #1)"	"Absolute Throttle Position"	"Time Since Engine Start"	"Commanded Equivalence Ratio"	
    2021-05-28 18:26:10.803	1538.5	26.0	11.0	33.72549057006836	0.05416666716337204	100.6378173828125	
    2021-05-28 18:26:11.343	1615.5	28.0	11.0	36.47058868408203	0.05416666716337204	96.502685546875	
    2021-05-28 18:26:11.882	1703.0	29.0	10.5	39.60784149169922	0.05444444343447685	102.8839111328125	
    2021-05-28 18:26:12.424	1783.25	31.0	13.0	40.39215850830078	0.05444444343447685	99.4354248046875	
    2021-05-28 18:26:12.963	1876.5	32.0	15.5	40.39215850830078	0.054722223430871964	95.98388671875	
    2021-05-28 18:26:13.505	1966.75	34.0	18.5	27.45098114013672	0.054722223430871964	98.9776611328125	
    2021-05-28 18:26:14.043	2019.0	35.0	10.5	22.745098114013672	0.054999999701976776	94.4427490234375	
    2021-05-28 18:26:14.582	2036.0	35.0	4.5	20.784313201904297	0.054999999701976776	100.3204345703125	
    2021-05-28 18:26:15.123	2043.75	35.0	3.0	19.60784339904785	0.05527777597308159	101.953125	
    2021-05-28 18:26:15.663	2000.25	35.0	1.5	18.431371688842773	0.05527777597308159	100.1708984375	
    2021-05-28 18:26:16.202	2015.5	34.0	6.5	17.254901885986328	0.0555555559694767	100.0	
    2021-05-28 18:26:16.741	1936.25	33.0	7.5	17.647058486938477	0.05583333224058151	100.0	
    2021-05-28 18:26:17.283	1695.5	30.0	14.0	17.254901885986328	0.05583333224058151	100.5218505859375	
    2021-05-28 18:26:17.823	1504.5	26.0	12.5	17.647058486938477	0.056111112236976624	101.043701171875	
    2021-05-28 18:26:18.363	1331.0	22.0	9.0	17.254901885986328	0.056111112236976624	101.5716552734375	
    2021-05-28 18:26:18.901	1185.0	17.0	6.5	16.86274528503418	0.056388888508081436	102.1392822265625	
    2021-05-28 18:26:19.443	1065.25	14.0	6.0	16.86274528503418	0.056388888508081436	102.8472900390625	
    2021-05-28 18:26:19.983	1014.75	14.0	12.5	21.176469802856445	0.05666666850447655	104.443359375	
    2021-05-28 18:26:20.524	1514.5	15.0	7.5	20.0	0.05666666850447655	101.800537109375	
    2021-05-28 18:26:21.062	1388.75	15.0	10.0	20.0	0.05694444477558136	100.2105712890625	
    2021-05-28 18:26:21.602	1425.0	16.0	17.0	22.352941513061523	0.05694444477558136	98.5015869140625	
    2021-05-28 18:26:22.324	1499.0	16.0	26.0	24.3137264251709	0.05722222104668617	95.684814453125	
    2021-05-28 18:26:23.071	1670.0	18.0	25.5	27.45098114013672	0.057500001043081284	100.1556396484375	
    2021-05-28 18:26:23.613	1926.0	21.0	25.5	27.843137741088867	0.057500001043081284	96.533203125	
    2021-05-28 18:26:24.159	2115.75	23.0	26.0	27.058822631835938	0.057777777314186096	97.54638671875	
    2021-05-28 18:26:24.693	2285.5	25.0	28.5	25.098039627075195	0.057777777314186096	95.037841796875	
    2021-05-28 18:26:25.233	2458.5	27.0	0.5	18.823530197143555	0.05805555731058121	89.9993896484375	
    2021-05-28 18:26:25.772	1982.75	27.0	22.5	20.784313201904297	0.05833333358168602	89.9993896484375	
    2021-05-28 18:26:26.314	1536.75	28.0	0.5	24.705883026123047	0.05833333358168602	89.9993896484375	
    2021-05-28 18:26:26.853	1675.75	29.0	23.5	26.27450942993164	0.05861110985279083	89.9993896484375	
    2021-05-28 18:26:27.399	1751.5	30.0	25.0	28.235294342041016	0.05861110985279083	100.32958984375	
    2021-05-28 18:26:27.936	1829.5	32.0	24.5	27.843137741088867	0.058888889849185944	95.3643798828125	
    2021-05-28 18:26:28.473	1919.75	33.0	26.0	27.058822631835938	0.058888889849185944	99.2095947265625	
    2021-05-28 18:26:29.015	1989.0	34.0	11.0	22.352941513061523	0.059166666120290756	95.977783203125	
    2021-05-28 18:26:29.556	2041.0	35.0	4.5	20.784313201904297	0.059166666120290756	100.7537841796875	
    2021-05-28 18:26:30.092	2047.75	35.0	3.5	19.215686798095703	0.05944444611668587	100.738525390625	
    2021-05-28 18:26:30.635	2058.5	35.0	5.5	18.039215087890625	0.05944444611668587	99.871826171875	
    2021-05-28 18:26:31.184	2003.0	34.0	11.5	16.86274528503418	0.05972222238779068	99.1058349609375	
    2021-05-28 18:26:31.715	1918.25	33.0	13.5	16.86274528503418	0.05999999865889549	97.222900390625	
    2021-05-28 18:26:32.253	1742.25	30.0	8.5	16.47058868408203	0.05999999865889549	104.998779296875	
    2021-05-28 18:26:32.793	1526.0	26.0	7.0	16.078432083129883	0.060277778655290604	104.998779296875	
    2021-05-28 18:26:33.332	1385.0	24.0	19.5	19.215686798095703	0.060277778655290604	100.0	
    2021-05-28 18:26:33.872	1298.75	22.0	9.5	16.86274528503418	0.060555554926395416	100.0	
    2021-05-28 18:26:34.418	1210.0	20.0	5.5	17.254901885986328	0.060555554926395416	100.5615234375	
    2021-05-28 18:26:34.954	1112.0	16.0	6.0	18.039215087890625	0.06083333492279053	101.2359619140625	
    2021-05-28 18:26:35.493	1010.0	13.0	4.0	16.86274528503418	0.06083333492279053	102.1087646484375	
    2021-05-28 18:26:36.032	959.75	12.0	4.0	16.86274528503418	0.06111111119389534	102.935791015625	
    2021-05-28 18:26:36.572	943.5	11.0	3.0	17.647058486938477	0.06111111119389534	103.7200927734375	
    2021-05-28 18:26:37.111	909.25	10.0	3.0	16.86274528503418	0.06138888746500015	101.043701171875	
    2021-05-28 18:26:37.653	924.25	10.0	1.0	17.254901885986328	0.06138888746500015	100.4852294921875	
    2021-05-28 18:26:38.192	907.25	10.0	10.5	22.745098114013672	0.061666667461395264	99.20654296875	
    2021-05-28 18:26:38.733	1761.75	10.0	22.0	33.33333206176758	0.061944443732500076	101.5777587890625	
    2021-05-28 18:26:39.272	1788.75	13.0	16.0	34.90196228027344	0.061944443732500076	98.4222412109375	
    2021-05-28 18:26:39.814	1411.0	16.0	-8.5	29.41176414489746	0.06222222372889519	99.3072509765625	
    2021-05-28 18:26:40.352	1549.25	17.0	11.5	32.54901885986328	0.06222222372889519	96.527099609375	
    2021-05-28 18:26:40.893	1661.25	18.0	15.5	34.117645263671875	0.0625	99.8260498046875	
    2021-05-28 18:26:41.440	1829.25	20.0	16.5	36.86274337768555	0.0625	95.9716796875	
    2021-05-28 18:26:41.975	2017.0	22.0	14.0	41.17647171020508	0.06277777999639511	95.76416015625	
    2021-05-28 18:26:42.514	2116.0	23.0	16.5	43.13725662231445	0.06277777999639511	92.1844482421875	
    2021-05-28 18:26:43.053	2250.5	25.0	18.0	44.70588302612305	0.06305555254220963	94.537353515625	
    2021-05-28 18:26:43.596	2412.5	27.0	19.0	45.490196228027344	0.06305555254220963	94.54345703125	
    2021-05-28 18:26:44.135	2554.75	28.0	20.5	46.27450942993164	0.06333333253860474	93.505859375	
    2021-05-28 18:26:44.673	2613.5	29.0	21.0	47.45098114013672	0.06333333253860474	93.731689453125	
    2021-05-28 18:26:45.213	2762.0	30.0	22.5	48.6274528503418	0.06361111253499985	92.8558349609375	
    2021-05-28 18:26:45.752	2783.5	31.0	-2.0	19.60784339904785	0.06388889253139496	89.9993896484375	
    2021-05-28 18:26:46.294	2642.25	30.0	-1.5	56.86274337768555	0.06388889253139496	99.0020751953125	
    2021-05-28 18:26:46.833	1763.5	30.0	-3.5	75.29412078857422	0.06416666507720947	96.96044921875	
    2021-05-28 18:26:47.373	1769.25	30.0	9.5	74.90196228027344	0.06416666507720947	98.1292724609375	
    2021-05-28 18:26:47.913	1780.5	31.0	9.5	74.90196228027344	0.06444444507360458	101.5472412109375	
    2021-05-28 18:26:48.453	1803.75	31.0	10.0	74.90196228027344	0.06444444507360458	101.9378662109375	
    2021-05-28 18:26:48.993	1799.25	31.0	10.5	74.90196228027344	0.0647222250699997	99.090576171875	
    2021-05-28 18:26:49.532	1837.75	31.0	10.5	74.90196228027344	0.0647222250699997	100.799560546875	
    2021-05-28 18:26:50.073	1855.5	32.0	11.5	74.90196228027344	0.06499999761581421	104.4464111328125	
    2021-05-28 18:26:50.613	1842.75	32.0	11.5	74.90196228027344	0.06499999761581421	104.0618896484375	
    2021-05-28 18:26:51.153	1847.5	32.0	11.5	75.29412078857422	0.06527777761220932	100.048828125	
    2021-05-28 18:26:51.690	1843.25	32.0	12.0	74.90196228027344	0.06527777761220932	100.9857177734375	
