"Time [s]"	"Coolant Temperature"	"Intake Manifold Pressure"	"Engine RPM"	"Vehicle Speed"	"Distance since MIL activated"	"Fuel Level Input"	"Distance since ECU reset"	"CAT Temperature B1S1"	"Absolute Engine Load"	"Commanded Equivalence Ratio"	"Ethanol fuel %"	
    2021-06-03 13:14:55.504	86.0	63.0	1261.5	11.0	0.0	99.21568298339844	4334.0	561.0	31.372549057006836	98.1109619140625	22.352941513061523	
    2021-06-03 13:14:56.489	87.0	69.0	2027.5	11.0	0.0	100.0	4334.0	559.2000122070312	38.039215087890625	89.495849609375	22.352941513061523	
    2021-06-03 13:14:57.512	87.0	37.0	2583.75	13.0	0.0	99.21568298339844	4334.0	557.5	36.47058868408203	96.4996337890625	22.352941513061523	
    2021-06-03 13:14:58.502	87.0	30.0	2340.5	14.0	0.0	98.03921508789062	4334.0	557.0999755859375	16.86274528503418	100.0	22.352941513061523	
    2021-06-03 13:14:59.550	88.0	32.0	1734.5	10.0	0.0	97.64705657958984	4334.0	556.5	16.86274528503418	98.5565185546875	22.352941513061523	
    2021-06-03 13:15:00.542	88.0	61.0	1432.0	8.0	0.0	100.0	4334.0	555.7000122070312	32.94117736816406	101.2237548828125	22.352941513061523	
    2021-06-03 13:15:01.621	88.0	63.0	1512.0	9.0	0.0	99.21568298339844	4334.0	555.4000244140625	33.33333206176758	96.1639404296875	22.352941513061523	
    2021-06-03 13:15:02.612	88.0	54.0	1596.0	10.0	0.0	97.64705657958984	4334.0	554.9000244140625	27.058822631835938	96.685791015625	22.352941513061523	
    2021-06-03 13:15:03.690	89.0	61.0	1749.5	11.0	0.0	90.19607543945312	4334.0	554.4000244140625	33.33333206176758	99.06005859375	22.352941513061523	
    2021-06-03 13:15:04.759	89.0	67.0	2174.25	13.0	0.0	100.0	4334.0	553.7999877929688	41.17647171020508	93.8232421875	22.352941513061523	
    2021-06-03 13:15:05.826	89.0	69.0	2700.5	17.0	0.0	99.21568298339844	4334.0	552.5999755859375	17.647058486938477	89.9993896484375	22.352941513061523	
